User-ID;Location
2;nyc, new york, usa
7;stockton, california, usa
8;moscow, yukon territory, russia
9;porto, v.n.gaia, portugal
14;farnborough, hants, united kingdom
16;santa monica, california, usa
17;washington, dc, usa
19;timmins, ontario, canada
20;germantown, tennessee, usa
23;albacete, wisconsin, spain
26;melbourne, victoria, australia
32;fort bragg, california, usa
39;barcelona, barcelona, spain
44;mediapolis, iowa, usa
51;calgary, alberta, canada
53;albuquerque, new mexico, usa
67;chesapeake, virginia, usa
69;rio de janeiro, rio de janeiro, brazil
73;weston, ,
75;langhorne, pennsylvania, usa
77;ferrol / spain, alabama, spain
78;erfurt, thueringen, germany
81;philadelphia, pennsylvania, usa
85;cologne, nrw, germany
86;oakland, california, usa
87;bellevue, washington, usa
91;chicago, illinois, usa
99;freiburg, baden-wuerttemberg, germany
100;cuernavaca, alabama, mexico
110;anchorage, alaska, usa
114;shanghai, n/a, china
129;portland, oregon, usa
133;costa mesa, california, usa
139;london, england, united kingdom
144;grafton, wisconsin, usa
151;montreal, quebec, canada
165;san sebastian, n/a, spain
169;viterbo, lazio, italy
176;cary, north carolina, usa
178;tonawanda, new york, usa
183;santee, california, usa
185;appleton, wisconsin, usa
190;méxico, méxico city, distrito federal
199;black mountain, north carolina, usa
202;berlin, n/a, germany
212;heidelberg, baden-wuerttemberg, germany
215;vicenza, veneto, italy
217;chicago, illinois, usa
224;rome, rome, italy
228;london, england, united kingdom
232;renton, washington, usa
236;braunschweig, niedersachsen, germany
241;tacoma, washington, usa
243;eubank, kentucky, usa
244;calgary, alberta, canada
247;cheyenne, wyoming, usa
249;roma, lazio, italy
254;edmonton, alberta, canada
256;asheville, north carolina, usa
272;trieste, friuli venezia giulia, italy
280;winfield, alabama, usa
289;kennewick, washington, usa
300;nyack, new york, usa
302;lyon, rhone, france
313;n/a, n/a, australia
327;warman, saskatchewan, canada
332;framingham, massachusetts, usa
338;montreal, quebec, canada
343;vancouver, british columbia, canada
356;rochester, new york, usa
362;toronto, ontario, canada
376;gloucester, england, united kingdom
382;wentzville, missouri, usa
383;amsterdam, n/a, netherlands
384;long beach, california, usa
387;charleston, south carolina, usa
388;vancouver, british columbia, canada
400;oakland, california, usa
408;ottawa, ontario, canada
422;etobicoke, ontario, canada
424;santa cruz, california, usa
433;del mar, california, usa
435;eugene, oregon, usa
440;san diago, california, usa
441;london, england, united kingdom
444;los angeles, california, usa
446;richardson, texas, usa
453;fayetteville, georgia, usa
460;plano, texas, usa
463;powhatan, virginia, usa
472;toronto/newmarket, ,
476;castellar del valles, barcelona, spain
479;eden, wisconsin, usa
486;tehran, tehran, iraq
487;grand island, new york, usa
493;helsinki, alaska, finland
496;mechanicsburg, pennsylvania, usa
501;pukekohe, auckland, new zealand
503;franktown, colorado, usa
505;madrid, n/a, spain
507;nagpur, idaho, india
